sample_id,crop_path,dataset,unified_label,lane,quality_flags,blur_var,mean_brightness,contrast_std,width,height,rejection_reason,human_verdict,human_note
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/132.png#0,data/raw/dacon_wallpaper/open/train/훼손/132.png,dacon_wallpaper,breakage,baseline,low_contrast,18.07,147.7,3.79,625,667,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/343.png#0,data/raw/dacon_wallpaper/open/train/오염/343.png,dacon_wallpaper,stain_corrosion,baseline,low_contrast,27.74,141.91,4.07,1114,605,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/몰딩수정/104.png#0,data/raw/dacon_wallpaper/open/train/몰딩수정/104.png,dacon_wallpaper,finish_damage,baseline,washed_out,411.01,197.38,31.29,620,678,quality_outlier:washed_out,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-24.jpg#0,aihub_567/baseline/S-210902_A_C_2_R_4745003-24_0.jpg,aihub_567,crack,baseline,blur,51.96,136.32,19.09,287,287,quality_outlier:blur,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c.jpg#1,roboflow_wall_defects/ablation/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c_1.jpg,roboflow_wall_defects,stain_corrosion,ablation,blur;low_contrast,2.13,144.14,5.5,128,128,quality_outlier:blur;low_contrast,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/320_png_jpg.rf.fe0c3e3329c6b89ea586e1229e6b535d.jpg#0,roboflow_house_defect/ablation/320_png_jpg.rf.fe0c3e3329c6b89ea586e1229e6b535d_0.jpg,roboflow_house_defect,breakage,ablation,low_contrast,2.71,151.33,2.99,253,253,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/226.png#0,data/raw/dacon_wallpaper/open/train/오염/226.png,dacon_wallpaper,stain_corrosion,baseline,low_contrast,17.34,181.85,3.59,596,500,quality_outlier:low_contrast,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/05826.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/05826.jpg,kaggle_cracks,crack,baseline,dark,61.29,100.65,20.21,227,227,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/140.png#0,data/raw/dacon_wallpaper/open/train/오염/140.png,dacon_wallpaper,stain_corrosion,baseline,blur,5.65,126.54,5.62,404,653,quality_outlier:blur,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/몰딩수정/89.png#0,data/raw/dacon_wallpaper/open/train/몰딩수정/89.png,dacon_wallpaper,finish_damage,baseline,blur,4.79,102.0,17.68,626,318,quality_outlier:blur,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211201_A_X_3_R_2254425-15.jpg#1,aihub_567/baseline/S-211201_A_X_3_R_2254425-15_1.jpg,aihub_567,breakage,baseline,dark,692.8,45.56,40.25,219,219,quality_outlier:dark,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/test/images/_-75-_jpg.rf.141781925f7e6cfa4abed7b6ff9f0fd0.jpg#4,roboflow_wall_defects/lineage_a7/_-75-_jpg.rf.141781925f7e6cfa4abed7b6ff9f0fd0_4.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,dark,732.32,84.57,27.91,110,110,quality_outlier:dark,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/19030_1.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/19030_1.jpg,kaggle_cracks,crack,baseline,low_contrast,81.32,147.02,11.05,227,227,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/165.png#0,data/raw/dacon_wallpaper/open/train/오염/165.png,dacon_wallpaper,stain_corrosion,baseline,dark,17.73,96.68,19.18,620,668,quality_outlier:dark,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/14578_1.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/14578_1.jpg,kaggle_cracks,crack,baseline,dark,107.27,96.13,20.87,227,227,quality_outlier:dark,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/06478.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/06478.jpg,kaggle_cracks,crack,baseline,low_contrast,29.85,109.93,11.47,227,227,quality_outlier:low_contrast,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/01644.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/01644.jpg,kaggle_cracks,crack,baseline,washed_out,42.78,218.28,19.46,227,227,quality_outlier:washed_out,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(균열)/불량/RGB/S-211111_A_C_3_R_5870030-19.jpg#0,aihub_567/baseline/S-211111_A_C_3_R_5870030-19_0.jpg,aihub_567,crack,baseline,blur,57.33,133.66,31.02,1079,1079,quality_outlier:blur,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/731.png#0,data/raw/dacon_wallpaper/open/train/훼손/731.png,dacon_wallpaper,breakage,baseline,washed_out,16.01,200.68,21.57,626,625,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/test/images/292_png_jpg.rf.6379b96678dd43665c5d308e872183c6.jpg#0,roboflow_house_defect/ablation/292_png_jpg.rf.6379b96678dd43665c5d308e872183c6_0.jpg,roboflow_house_defect,breakage,ablation,washed_out,52.13,207.98,16.16,314,314,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/664_png_jpg.rf.43daab63c0dd9900ed040576b60a4ba7.jpg#1,roboflow_house_defect/ablation/664_png_jpg.rf.43daab63c0dd9900ed040576b60a4ba7_1.jpg,roboflow_house_defect,breakage,ablation,low_contrast,11.33,150.65,2.36,128,128,quality_outlier:low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211201_A_X_3_R_96362453-18.jpg#1,aihub_567/baseline/S-211201_A_X_3_R_96362453-18_1.jpg,aihub_567,breakage,baseline,dark,164.96,29.17,23.7,128,128,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/800.png#0,data/raw/dacon_wallpaper/open/train/훼손/800.png,dacon_wallpaper,breakage,baseline,low_contrast,17.95,154.98,3.61,445,569,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오타공/18.png#0,data/raw/dacon_wallpaper/open/train/오타공/18.png,dacon_wallpaper,breakage,baseline,dark,628.62,95.82,33.81,578,611,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오타공/59.png#0,data/raw/dacon_wallpaper/open/train/오타공/59.png,dacon_wallpaper,breakage,baseline,washed_out,678.66,208.1,15.76,616,621,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/39341_img3_jpg.rf.05868b9c640a1286e55373e702a80af4.jpg#0,roboflow_house_defect/ablation/39341_img3_jpg.rf.05868b9c640a1286e55373e702a80af4_0.jpg,roboflow_house_defect,mold,ablation,dark,26.42,54.7,21.74,640,640,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/24.png#0,data/raw/dacon_wallpaper/open/train/오염/24.png,dacon_wallpaper,stain_corrosion,baseline,blur,6.48,182.57,5.19,524,662,quality_outlier:blur,,
roboflow_house_defect:data/raw/roboflow_house_defect/valid/images/146_png_jpg.rf.1a5c2779be2b11935effa3fadcaf5a89.jpg#0,roboflow_house_defect/ablation/146_png_jpg.rf.1a5c2779be2b11935effa3fadcaf5a89_0.jpg,roboflow_house_defect,breakage,ablation,low_contrast,5.44,134.91,2.99,128,128,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/오염/34.png#0,data/raw/dacon_wallpaper/open/train/오염/34.png,dacon_wallpaper,stain_corrosion,baseline,low_contrast,15.59,155.91,3.62,615,605,quality_outlier:low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/286.png#0,data/raw/dacon_wallpaper/open/train/훼손/286.png,dacon_wallpaper,breakage,baseline,low_contrast,17.27,140.35,3.02,591,658,quality_outlier:low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/불량/RGB/S-211110_A_C_3_R_5870010-6.jpg#2,aihub_567/baseline/S-211110_A_C_3_R_5870010-6_2.jpg,aihub_567,crack,baseline,low_contrast,61.49,152.17,5.44,128,128,quality_outlier:low_contrast,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/19_png_jpg.rf.a66a0aedeff0874cbb5675cc8eca9b34.jpg#0,roboflow_house_defect/ablation/19_png_jpg.rf.a66a0aedeff0874cbb5675cc8eca9b34_0.jpg,roboflow_house_defect,breakage,ablation,low_contrast,15.71,139.46,3.02,172,172,quality_outlier:low_contrast,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/59_png.rf.17c2e59bdad9fa9edd5294b1b737f127.jpg#1,roboflow_house_defect/ablation/59_png.rf.17c2e59bdad9fa9edd5294b1b737f127_1.jpg,roboflow_house_defect,breakage,ablation,washed_out,1020.87,201.22,31.32,128,128,quality_outlier:washed_out,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/196.png#0,data/raw/dacon_wallpaper/open/train/훼손/196.png,dacon_wallpaper,breakage,baseline,blur;low_contrast,2.51,169.85,4.22,626,616,quality_outlier:blur;low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211113_A_X_3_R_2254211-21.jpg#1,aihub_567/baseline/S-211113_A_X_3_R_2254211-21_1.jpg,aihub_567,breakage,baseline,dark,283.39,46.76,50.75,454,454,quality_outlier:dark,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6.jpg#0,roboflow_wall_defects/ablation/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6_0.jpg,roboflow_wall_defects,crack,ablation,washed_out,1871.37,243.2,45.66,189,189,quality_outlier:washed_out,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-1031_png.rf.cfe584a019356b8b86991620ee32cd6e.jpg#1,roboflow_wallpaper_kr/ablation/-1031_png.rf.cfe584a019356b8b86991620ee32cd6e_1.jpg,roboflow_wallpaper_kr,breakage,ablation,dark,6.53,87.75,5.95,135,135,quality_outlier:dark,,
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/05350.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/05350.jpg,kaggle_cracks,crack,baseline,low_contrast,24.7,151.92,9.23,227,227,quality_outlier:low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(균열)/보통/RGB/S-211223_A_C_2_R_2254031-17.jpg#0,aihub_567/baseline/S-211223_A_C_2_R_2254031-17_0.jpg,aihub_567,crack,baseline,blur,45.71,172.17,7.56,350,350,quality_outlier:blur,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211113_A_X_3_R_2254215-7.jpg#1,aihub_567/baseline/S-211113_A_X_3_R_2254215-7_1.jpg,aihub_567,breakage,baseline,dark,312.14,33.81,31.45,466,466,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/꼬임/197.png#0,data/raw/dacon_wallpaper/open/train/꼬임/197.png,dacon_wallpaper,finish_damage,baseline,low_contrast,27.45,136.68,3.91,617,697,quality_outlier:low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636003-11.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636003-11_0.jpg,aihub_567,crack,review_only,,3341.86,141.56,58.39,1080,1080,legacy_annotation_error,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(균열)/불량/RGB/S-211113_A_C_3_R_2254221-29.jpg#1,aihub_567/baseline/S-211113_A_C_3_R_2254221-29_1.jpg,aihub_567,crack,baseline,washed_out,694.66,228.64,36.58,128,128,quality_outlier:washed_out,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-1398_png.rf.6f574d3774677e161a491bf8c9c622a8.jpg#0,roboflow_wallpaper_kr/ablation/-1398_png.rf.6f574d3774677e161a491bf8c9c622a8_0.jpg,roboflow_wallpaper_kr,breakage,ablation,washed_out,85.31,200.96,8.36,231,231,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/440_png_jpg.rf.264aa55fb8c1d96f3fb2c53e432eed58.jpg#0,roboflow_house_defect/ablation/440_png_jpg.rf.264aa55fb8c1d96f3fb2c53e432eed58_0.jpg,roboflow_house_defect,breakage,ablation,blur,0.99,143.91,4.98,326,326,quality_outlier:blur,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211113_A_X_3_R_2254016-30.jpg#1,aihub_567/baseline/S-211113_A_X_3_R_2254016-30_1.jpg,aihub_567,breakage,baseline,dark,136.87,47.5,13.33,128,128,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/241.png#0,data/raw/dacon_wallpaper/open/train/훼손/241.png,dacon_wallpaper,breakage,baseline,washed_out,728.86,198.63,18.36,626,625,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/40_png.rf.78c4aada6ee05f48b0f795e9a912cf70.jpg#0,roboflow_house_defect/ablation/40_png.rf.78c4aada6ee05f48b0f795e9a912cf70_0.jpg,roboflow_house_defect,breakage,ablation,washed_out,1474.54,207.41,13.93,280,280,quality_outlier:washed_out,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/불량/RGB/S-211110_A_C_3_R_5870010-9.jpg#1,aihub_567/baseline/S-211110_A_C_3_R_5870010-9_1.jpg,aihub_567,crack,baseline,blur;low_contrast,49.77,135.9,6.7,167,167,quality_outlier:blur;low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211112_A_X_3_R_2254192-6.jpg#1,aihub_567/baseline/S-211112_A_X_3_R_2254192-6_1.jpg,aihub_567,breakage,baseline,washed_out,340.35,230.59,31.98,594,594,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/31510_img11_jpg.rf.d69510fdb9b1225754151f208bd972a6.jpg#2,roboflow_house_defect/ablation/31510_img11_jpg.rf.d69510fdb9b1225754151f208bd972a6_2.jpg,roboflow_house_defect,mold,ablation,dark,14.11,51.36,21.75,138,138,quality_outlier:dark,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/우수/RGB/S-211116_A_X_1_R_9636035-5.jpg#0,aihub_567/review_only/S-211116_A_X_1_R_9636035-5_0.jpg,aihub_567,breakage,review_only,,4207.4,150.53,49.28,1080,1080,legacy_annotation_error,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/_-44-_jpg.rf.207f06470c888fec1d817bb293794b16.jpg#2,roboflow_wall_defects/lineage_a7/_-44-_jpg.rf.207f06470c888fec1d817bb293794b16_2.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,low_contrast,11.17,217.59,5.97,588,588,quality_outlier:low_contrast,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0018_png.rf.115f2838d081547619caa379213d85c3.jpg#1,roboflow_wallpaper_kr/ablation/-0018_png.rf.115f2838d081547619caa379213d85c3_1.jpg,roboflow_wallpaper_kr,finish_damage,ablation,blur;low_contrast,2.05,159.81,2.96,128,128,quality_outlier:blur;low_contrast,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6.jpg#3,roboflow_wall_defects/ablation/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6_3.jpg,roboflow_wall_defects,crack,ablation,washed_out,1751.89,245.61,39.95,189,189,quality_outlier:washed_out,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0031_png.rf.61a13efd97c2401a7a90502c52f8b397.jpg#5,roboflow_wallpaper_kr/ablation/-0031_png.rf.61a13efd97c2401a7a90502c52f8b397_5.jpg,roboflow_wallpaper_kr,finish_damage,ablation,blur;dark;low_contrast,1.77,69.32,2.05,128,128,quality_outlier:blur;dark;low_contrast,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6.jpg#7,roboflow_wall_defects/ablation/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6_7.jpg,roboflow_wall_defects,crack,ablation,washed_out,1240.2,249.53,29.71,189,189,quality_outlier:washed_out,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/cropped-mould_JPG.rf.ba48240cb159f2c7490544361af7f9b2.jpg#3,roboflow_wall_defects/lineage_a7/cropped-mould_JPG.rf.ba48240cb159f2c7490544361af7f9b2_3.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,dark,91.46,90.35,54.54,348,348,quality_outlier:dark,,
"dacon_wallpaper:data/raw/dacon_wallpaper/open/train/창틀,문틀수정/7.png#0","data/raw/dacon_wallpaper/open/train/창틀,문틀수정/7.png",dacon_wallpaper,finish_damage,baseline,dark,127.86,83.29,32.38,618,666,quality_outlier:dark,,
roboflow_house_defect:data/raw/roboflow_house_defect/valid/images/100229_img7_jpg.rf.34c499d1e8db74daa2ce8f8298ce66e6.jpg#0,roboflow_house_defect/ablation/100229_img7_jpg.rf.34c499d1e8db74daa2ce8f8298ce66e6_0.jpg,roboflow_house_defect,mold,ablation,dark,62.07,72.28,37.43,352,352,quality_outlier:dark,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/31510_img11_jpg.rf.d69510fdb9b1225754151f208bd972a6.jpg#0,roboflow_house_defect/ablation/31510_img11_jpg.rf.d69510fdb9b1225754151f208bd972a6_0.jpg,roboflow_house_defect,mold,ablation,dark,45.93,66.93,28.9,325,325,quality_outlier:dark,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/test/images/istockphoto-1068873994-612x612_jpg.rf.a44ad7f4abee60bfb827e7606d4a8764.jpg#2,roboflow_wall_defects/ablation/istockphoto-1068873994-612x612_jpg.rf.a44ad7f4abee60bfb827e7606d4a8764_2.jpg,roboflow_wall_defects,crack,ablation,washed_out,914.41,242.31,49.2,265,265,quality_outlier:washed_out,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/면불량/51.png#0,data/raw/dacon_wallpaper/open/train/면불량/51.png,dacon_wallpaper,finish_damage,baseline,blur,6.21,165.3,10.95,627,571,quality_outlier:blur,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/45582_img3_png_jpg.rf.a03e65d28fd96af66e3df7e64332ef62.jpg#0,roboflow_house_defect/ablation/45582_img3_png_jpg.rf.a03e65d28fd96af66e3df7e64332ef62_0.jpg,roboflow_house_defect,mold,ablation,dark,68.44,54.54,32.42,640,640,quality_outlier:dark,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636004-29.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636004-29_0.jpg,aihub_567,crack,review_only,,2016.31,135.76,59.57,1080,1080,legacy_annotation_error,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6.jpg#1,roboflow_wall_defects/ablation/istockphoto-1277466454-612x612_jpg.rf.fd9c77f26865125371faac1a829fe2f6_1.jpg,roboflow_wall_defects,crack,ablation,washed_out,2213.93,243.15,44.75,189,189,quality_outlier:washed_out,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/test/images/istockphoto-1068873994-612x612_jpg.rf.a44ad7f4abee60bfb827e7606d4a8764.jpg#5,roboflow_wall_defects/ablation/istockphoto-1068873994-612x612_jpg.rf.a44ad7f4abee60bfb827e7606d4a8764_5.jpg,roboflow_wall_defects,crack,ablation,washed_out,854.24,244.11,45.29,262,262,quality_outlier:washed_out,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636010-2.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636010-2_0.jpg,aihub_567,crack,review_only,,4813.36,121.72,68.08,1080,1080,legacy_annotation_error,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0016_png.rf.a3e316ef9fb0a8fa5e72461bd466302c.jpg#0,roboflow_wallpaper_kr/ablation/-0016_png.rf.a3e316ef9fb0a8fa5e72461bd466302c_0.jpg,roboflow_wallpaper_kr,lifting,ablation,dark,65.28,85.44,17.28,329,329,quality_outlier:dark,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/test/images/_-75-_jpg.rf.141781925f7e6cfa4abed7b6ff9f0fd0.jpg#0,roboflow_wall_defects/lineage_a7/_-75-_jpg.rf.141781925f7e6cfa4abed7b6ff9f0fd0_0.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,dark,599.61,92.48,32.29,110,110,quality_outlier:dark,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0020_png.rf.1d431a559eff6f1fc372c93942263944.jpg#2,roboflow_wallpaper_kr/ablation/-0020_png.rf.1d431a559eff6f1fc372c93942263944_2.jpg,roboflow_wallpaper_kr,finish_damage,ablation,washed_out,42.44,203.42,4.14,128,128,quality_outlier:washed_out,,
